Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Smoke Anderson,1839,666.0,Dirk Digglet,2206,623.0,2B,43.0,T6,0,0,1,1,13.43%,-13.43%,0,0,0,58,7,4,OSU,GEO,2B,2B,2B,1
Perry Platypus,2332,518.0,Dirk Digglet,2206,123.0,PO,395.0,T6,0,2,1,1,-9.04%,9.04%,0,0,0,58,7,4,OSU,GEO,PO,PO,PO,1
Egor Kucherov,2342,431.0,Dirk Digglet,2206,819.0,PO,388.0,T6,1,2,1,1,-7.31%,7.31%,0,0,0,58,7,4,OSU,GEO,PO,PO,PO,1
Edge Rocks,2281,781.0,Dirk Digglet,2206,231.0,RGO,450.0,T6,2,2,1,1,-12.51%,12.51%,0,0,0,58,7,4,OSU,GEO,RGO,RGO,RGO,1
Guthlac son of Romund,2340,555.0,Herb Sessions,2245,632.0,1B,77.0,B6,0,0,1,1,3.24%,-3.24%,0,0,0,59,7,4,GEO,OSU,1B,1B,1B,1
Kilometers Man,2363,213.0,Herb Sessions,2245,555.0,K,342.0,B6,0,1,1,1,-5.58%,5.58%,0,0,0,59,7,4,GEO,OSU,K,K,K,1
Roidy Magoo,2354,969.0,Herb Sessions,2245,760.0,FO,209.0,B6,1,1,1,1,-4.29%,4.29%,0,0,0,59,7,4,GEO,OSU,FO,FO,FO,1
Hugh Jass,2357,123.0,Herb Sessions,2245,759.0,K,364.0,B6,2,1,1,1,-8.79%,8.79%,0,0,0,59,7,4,GEO,OSU,K,K,K,1
Betardo Carrero,2394,285.0,Dirk Digglet,2206,595.0,PO,310.0,T7,0,2,1,1,-8.85%,8.85%,0,0,0,60,7,4,OSU,GEO,PO,PO,K,1
Briek Vermeesch,2366,720.0,Dirk Digglet,2206,688.0,3B,32.0,T7,1,2,1,1,32.07%,-32.07%,1,0,0,60,7,4,OSU,GEO,3B,3B,2B,1
MELTZ Slander,2335,348.0,Dirk Digglet,2206,705.0,PO,357.0,T7,1,3,1,2,-9.86%,9.86%,0,0,0,60,7,4,OSU,GEO,PO,PO,K,1
Large Attractive,2452,869.0,Dirk Digglet,2206,2.0,FO,133.0,T7,2,3,1,2,13.17%,-13.17%,0,0,0,60,7,4,OSU,GEO,FO,FO,1B,1
