G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,Avg Diff,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD
8.0,35.666666666666664,155.0,38.0,23.0,21.0,2.0,13.0,2.0,3.869158878504673,1.6542056074766356,254.1038961038961,S4,394,3.064985277173217,35.666666666666664,84,7.0,5.0,4.0,0.0,1,6,0,0
9.0,50.666666666666664,218.0,52.0,34.0,20.0,2.0,34.0,6.0,4.026315789473684,1.4210526315789473,250.8101851851852,S4,395,2.680209084354722,50.333333333333336,98,8.0,7.0,7.0,1.0,2,7,0,0
9.0,35.0,150.0,41.0,17.0,14.0,0.0,18.0,5.0,2.914285714285714,1.5714285714285714,245.94630872483222,S4,413,3.3272015655577296,35.666666666666664,99,6.0,8.0,5.0,1.0,2,4,1,0
7.0,14.333333333333334,56.0,9.0,2.0,8.0,1.0,8.0,1.0,0.8372093023255813,1.1860465116279069,254.45454545454547,S4,471,2.7637464160560685,14.666666666666666,125,1.0,7.0,1.0,0.0,2,0,3,0
7.0,10.333333333333334,48.0,15.0,13.0,4.0,0.0,7.0,5.0,7.548387096774193,1.8387096774193548,226.6,S4,474,7.395404330534689,11.666666666666666,55,1.0,2.0,0.0,0.0,0,1,1,1
13.0,22.0,99.0,27.0,12.0,9.0,0.0,12.0,6.0,3.272727272727273,1.6363636363636365,249.44329896907217,S4,478,4.980448318804482,24.0,103,3.0,3.0,0.0,0.0,3,1,1,2
9.0,29.666666666666668,129.0,30.0,12.0,13.0,0.0,26.0,4.0,2.426966292134831,1.449438202247191,259.81538461538463,S4,481,2.6132368785593347,30.0,107,5.0,3.0,2.0,1.0,3,0,0,1
8.0,33.0,139.0,35.0,16.0,11.0,0.0,37.0,5.0,2.909090909090909,1.393939393939394,241.78472222222223,S4,495,2.025902864259028,33.0,116,6.0,6.0,4.0,1.0,4,2,1,0
9.0,38.666666666666664,161.0,37.0,21.0,15.0,1.0,28.0,4.0,3.2586206896551726,1.3448275862068966,258.5153374233129,S4,517,2.358974964572508,38.666666666666664,96,7.0,6.0,4.0,2.0,4,5,0,0
1.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,S4,522,1.2986301369863011,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0
8.0,21.0,89.0,21.0,10.0,9.0,0.0,24.0,0.0,2.857142857142857,1.4285714285714286,250.92045454545453,S4,524,0.29863013698630114,21.333333333333332,91,3.0,6.0,2.0,0.0,3,2,2,1
6.0,12.0,52.0,14.0,8.0,5.0,0.0,14.0,2.0,4.0,1.5833333333333333,243.32692307692307,S4,527,2.3819634703196346,12.333333333333334,129,1.0,5.0,1.0,0.0,1,1,1,0
6.0,29.333333333333332,133.0,36.0,18.0,14.0,0.0,20.0,3.0,3.681818181818182,1.7045454545454546,249.23703703703703,S4,535,2.696357409713574,28.666666666666668,103,5.0,6.0,5.0,0.0,1,4,0,0
9.0,23.666666666666668,106.0,27.0,17.0,11.0,0.0,19.0,4.0,4.309859154929577,1.6056338028169013,247.11111111111111,S4,562,3.2845456299440476,24.666666666666668,71,3.0,4.0,1.0,0.0,1,4,1,0
7.0,25.333333333333332,100.0,18.0,8.0,11.0,0.0,8.0,4.0,1.8947368421052633,1.1447368421052633,248.8846153846154,S4,585,4.0223143475126175,25.0,173,4.0,4.0,3.0,1.0,3,2,0,1
